,name,address,Phone,website,type1,type2,description,lat,lon
48,A.e. Finley Ymca,"9216 Baileywick Rd.,Raleigh, NC 27615",919-848-9622,https://www.ymcatriangle.org/locations/ae-finley-ymca,water park,water_park,"Outdoor pool, shallow pool and slides",35.907389,-78.6586107
47,Baxter Close Ymca,"857 Promenade Walk, Fort Mill, SC 29708",(803) 548-8020,https://ymcaup.org/branch/baxter/,water park,water_park,Outdoor water park,35.02544,-80.96966033
13,Bessemer City Pool,"200 N 14th St, Bessemer City, NC 28016",(704) 629-5111,https://bessemercity.com/parks-recreation/parks-facilities/pool-and-splashpad/,aquatic center,water_park,NA,35.287615,-81.28757574
33,Buffaloe Road Aquatic Center,"5908 Buffaloe Rd, Raleigh, NC 27616",(919) 996-5600,https://raleighnc.gov/parks-and-recreation/places/buffaloe-road-aquatic-center,water park,water_park,Indoor,35.841457,-78.54163405
11,Camp Tn Spencer,"3155 Foxford Rd, Concord, NC 28025",(704) 920-2747,https://www.cabarruscounty.us/Government/Departments/Active-Living-and-Parks,park,water_park,NA,35.462466,-80.48981787
24,Carolina Harbor,"14523 Carowinds Blvd, Charlotte, NC 28273",(704) 588-2600,https://www.carowinds.com/carolina-harbor,water park,water_park,NA,35.100662,-80.94953477
49,Chatham Park Ymca,"120 Parkland Dr.,Pittsboro, NC 27312",919-545-9622,https://www.ymcatriangle.org/locations/chatham-ymca,water park,water_park,"Outdoor pool, shallow pool and slides",35.728933,-79.17767814
46,Clover/Lake Wylie Ymca Aquatics Center,"5485 Charlotte Hwy, Clover, SC 29710",(803) 831-9622,https://ymcaup.org/branch/clover-community/,water park,water_park,Outdoor water park,35.111993,-81.08782076
14,Cordelia Swimming Pool,"2100 N Davidson St, Charlotte, NC 28205",980-314-1200,https://parkandrec.mecknc.gov/Places-to-Visit/Pools-Beaches-Spraygrounds/cordelia-pool,aquatic center,water_park,"50-yard pool, dive well, and a waterslide",35.238537,-80.8164146
41,Currents Waterpark At Embassy Suites Myrtle Beach Resort,"9800 Queensway Blvd, Myrtle Beach, SC 29572",(800) 876-0010,https://www.kingstonresorts.com/experiences/currentsseasideentertainment/,water park,water_park,NA,33.767508,-78.77890022
64,Discovery Island,"417 Baldwin Rd, Simpsonville, SC 29680",(864) 963-4345,https://waterparks.greenvillerec.com/discovery-island/,water park,water_park,NA,34.740001,-82.2883184
3,Dollywood's Splash Country,"2700 Dollywood Parks Blvd, Pigeon Forge, TN",(800) 365-5996,https://www.dollywood.com/waterpark,water park,water_park,NA,35.810458,-83.534525
8,Double Oaks Family Aquatic Center,"2014 Statesville Ave, Charlotte, NC 28206",(704) 334-0308,https://parkandrec.mecknc.gov/places-to-visit/pools-beaches-spraygrounds/double-oaks-family-aquatic-center,aquatic center,water_park,"Pool, zero-depth entrance with play feature, and a slide",35.249689,-80.83577956
6,East Triangle Ymca,"120 Flowers Pkwy,Clayton, NC 27527",919-262-0440,https://www.ymcatriangle.org/locations/east-triangle-ymca,water park,water_park,"Outdoor pool, shallow pool and slides",35.65466,-78.351693
31,Elevated Wake Park,"220 Bryant Rd, Lexington, NC 27292",(336) 313-5053,https://www.elevatedwakepark.com,water park,water_park,NA,35.791458,-80.1371692
67,Family Kingdom Amusement Park,"S Ocean Blvd, Myrtle Beach, SC 29577",(843) 626-3447,https://www.familykingdomfun.com,water park,water_park,NA,33.681864,-78.8898944
18,Fantasy Lake Adventure Park,"3601 Quarry Rd, Wake Forest, NC 27587",(919) 556-1803,https://www.gofantasylake.com,water park,water_park,NA,35.910111,-78.42877585
34,Fantasy Lake Adventure Park,"3601 Quarry Rd, Wake Forest, NC 27587",(919) 556-1803,https://www.gofantasylake.com,water park,water_park,NA,35.910111,-78.42877585
17,Great Wolf Lodge Indoor Water Park,"10175 Weddington Rd, Concord, NC 28027",(866) 925-9653,https://www.greatwolf.com/concord?utm_source=google&utm_medium=organic&utm_campaign=gmb-concord,water park,water_park,NA,35.362925,-80.71355849
70,H2o Bx Waterpark,"8526 Caratoke Hwy Powells Point, NC 27966",(252) 491-3000,www.h2obxwaterpark.com,water park,water_park,NA,36.109785,-75.82433609
7,High Point City Lake Park Aquatic Center,"602 W. Main St.Jamestown, NC 27282",336.883.3501,https://www.highpointnc.gov/2704/High-Point-City-Lake-Park-Aquatic-Center,aquatic center,water_park,NA,35.992998,-79.94910156
50,Hope Valley Farms Ymca,"4818 S. Roxboro St.,Durham, NC 27713",919-401-9621,https://www.ymcatriangle.org/locations/hope-valley-farms-ymca,water park,water_park,"Outdoor pool,  covered & gated baby pool, pool with slide",35.933861,-78.93620013
42,Jungle Rapids Family Fun Park,"5320 Oleander Dr, Wilmington, NC 28403",(910) 791-0666,https://www.junglerapids.com,water park,water_park,NA,34.20791,-77.86371198
45,Keith Family Ymca,"8100 Old Mallard Creek Rd, Charlotte, NC 28262",(704) 716-6700,https://www.ymcacharlotte.org/locations/keith-family-ymca?gad_source=1&gad_campaignid=22614253830&gbraid=0AAAAADLW87OcY9MPXTU2JIXMwUZb-y1Gq&gclid=CjwKCAjwmenCBhA4EiwAtVjzmh6wea-pt7O6psTDuzUD910dM5uMovIHNdPpuXiupCKZRJW_IaoQLRoC_BgQAvD_BwE,water park,water_park,Outdoor pools & shallow pools perfect for children,35.31681,-80.77786681
51,Kerr Family Ymca,"2500 Wakefield Pines Dr.,Raleigh, NC 27614",919-562-9622,https://www.ymcatriangle.org/locations/kerr-family-ymca,water park,water_park,"Outdoor pool, shallow pool, slide",35.947721,-78.56757178
